"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"RT @thegameawards: A racing game for @Tesla you can use the steering wheel with!? <U+0001F92F>Thank you @elonmusk! #E3Coliseum https://t.co/npzrts78aA",FALSE,0,NA,2019-06-14 01:46:23,FALSE,NA,"1139348324081733632",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ZPurrcent",3257,TRUE,FALSE,NA,NA
"@vBradBentley @SFranois1 @Tesla @elonmusk Yup, I have test-driven all three Tesla models. They are a blast, when yo… https://t.co/sVYaTUmdqZ",FALSE,1,"scot_work",2019-06-14 01:46:22,TRUE,"1139334380168437760","1139348320789225474","1024481853799952384","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scot_work",0,FALSE,FALSE,NA,NA
"RT @thegameawards: A racing game for @Tesla you can use the steering wheel with!? <U+0001F92F>Thank you @elonmusk! #E3Coliseum https://t.co/npzrts78aA",FALSE,0,NA,2019-06-14 01:46:21,FALSE,NA,"1139348318281183233",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","199X_J",3257,TRUE,FALSE,NA,NA
"RT @Paul_D_Ferrell: @TeslaSupport @Tesla My car is stuck at the San Francisco service center which is not answering any of their telephones…",FALSE,0,NA,2019-06-14 01:46:18,FALSE,NA,"1139348305195032576",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","PlugInFUD",5,TRUE,FALSE,NA,NA
"@raphy_martinez @Tesla @DMC_Ryan @Model3Owners ...except @elonmusk called it the ""gas pedal"".  SMH",FALSE,0,"raphy_martinez",2019-06-14 01:46:10,FALSE,"1139254049927311368","1139348271787401216","180558382","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","w_moorhouse",0,FALSE,FALSE,NA,NA
"@Tesla Except when you have an issue, good luck getting customer service.  When your vehicle is out of warranty, yo… https://t.co/OSAnank7Pz",FALSE,0,"Tesla",2019-06-14 01:46:05,TRUE,"1139225262279708672","1139348251252002816","13298072","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CaptainTech007",0,FALSE,FALSE,NA,NA
"RT @thegameawards: A racing game for @Tesla you can use the steering wheel with!? <U+0001F92F>Thank you @elonmusk! #E3Coliseum https://t.co/npzrts78aA",FALSE,0,NA,2019-06-14 01:45:55,FALSE,NA,"1139348207761285121",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TimelessKhaled",3257,TRUE,FALSE,NA,NA
"RT @DigitalTrends: The demise of @Tesla will not be happening. https://t.co/OVsoNKA4mw",FALSE,0,NA,2019-06-14 01:45:50,FALSE,NA,"1139348185619451904",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","LDSAgency",9,TRUE,FALSE,NA,NA
"RT @thegameawards: A racing game for @Tesla you can use the steering wheel with!? <U+0001F92F>Thank you @elonmusk! #E3Coliseum https://t.co/npzrts78aA",FALSE,0,NA,2019-06-14 01:45:43,FALSE,NA,"1139348156309745664",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","beelee51",3257,TRUE,FALSE,NA,NA
"RT @thegameawards: A racing game for @Tesla you can use the steering wheel with!? <U+0001F92F>Thank you @elonmusk! #E3Coliseum https://t.co/npzrts78aA",FALSE,0,NA,2019-06-14 01:45:35,FALSE,NA,"1139348123547918336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","jereliasta",3257,TRUE,FALSE,NA,NA
"@markdinan @jimbo435 @Tesla @elonmusk Which Acura starts at “$20K easily” less than Model 3’s starting price? https://t.co/cePOL94uzr",FALSE,1,"markdinan",2019-06-14 01:45:09,FALSE,"1138956695424516097","1139348013858643977","86394684","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","ICannot_Enough",0,FALSE,FALSE,NA,NA
"@mortchad @Tesla This looks like so much fun!! When can I have it???",FALSE,2,"mortchad",2019-06-14 01:45:03,FALSE,"1139321469958152192","1139347990307627018","451261679","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nola9",0,FALSE,FALSE,NA,NA
"RT @thegameawards: A racing game for @Tesla you can use the steering wheel with!? <U+0001F92F>Thank you @elonmusk! #E3Coliseum https://t.co/npzrts78aA",FALSE,0,NA,2019-06-14 01:44:49,FALSE,NA,"1139347931641729024",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","dodgersinseven",3257,TRUE,FALSE,NA,NA
"@RenataKonkoly @elonmusk @Starlight_Energ @28delayslater @Tesla It's craazy that they used Musk's last name to advertise.",FALSE,1,"RenataKonkoly",2019-06-14 01:44:41,FALSE,"1139289345733615617","1139347897542225921","372959979","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JaneidyEve",0,FALSE,FALSE,NA,NA
"RT @Paul_D_Ferrell: @TeslaSupport @Tesla My car is stuck at the San Francisco service center which is not answering any of their telephones…",FALSE,0,NA,2019-06-14 01:44:38,FALSE,NA,"1139347883507867649",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scot_work",5,TRUE,FALSE,NA,NA
"@Paul_D_Ferrell @TeslaSupport @Tesla Sorry to hear, Paul. Look up #TeslaServiceIssues.  There are many in the same… https://t.co/VjkU0z1DQF",FALSE,8,"Paul_D_Ferrell",2019-06-14 01:44:31,TRUE,"1139335451037200385","1139347854365904896","2903141678","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","scot_work",0,FALSE,FALSE,NA,NA
"RT @thegameawards: A racing game for @Tesla you can use the steering wheel with!? <U+0001F92F>Thank you @elonmusk! #E3Coliseum https://t.co/npzrts78aA",FALSE,0,NA,2019-06-14 01:44:06,FALSE,NA,"1139347752293265408",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Marisol_599",3257,TRUE,FALSE,NA,NA
"RT @thegameawards: A racing game for @Tesla you can use the steering wheel with!? <U+0001F92F>Thank you @elonmusk! #E3Coliseum https://t.co/npzrts78aA",FALSE,0,NA,2019-06-14 01:43:33,FALSE,NA,"1139347613487157249",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","TheColbyRyan",3257,TRUE,FALSE,NA,NA
"@elonmusk, super excited to see how @tesla full self driving will handle a situation like this! #teslacam… https://t.co/VILRBx501l",FALSE,0,"elonmusk",2019-06-14 01:43:31,TRUE,NA,"1139347603781406720","44196397","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","spdrwhumanhead",0,FALSE,FALSE,NA,NA
"@SpiceWare @cjk7216 @Tesla Correct. Seems to be a false display limit at 500 when it’s actually mathematically higher",FALSE,0,"SpiceWare",2019-06-14 01:43:23,FALSE,"1139140795431342080","1139347569182695431","225265198","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JPUConn",0,FALSE,FALSE,NA,NA
"@yoshi_sudarso @Tesla Was that your energem that you tucked into your shirt?",FALSE,0,"yoshi_sudarso",2019-06-14 01:43:18,FALSE,"1139239514935685120","1139347548634832897","395052957","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ChameleonKnigh1",0,FALSE,FALSE,NA,NA
"@Soussana18 @Tesla @elonmusk Charge at home for a full tank..oh wait.",FALSE,0,"Soussana18",2019-06-14 01:42:58,FALSE,"1139318503435935745","1139347464035737600","730152769756090369","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Pixel22XL",0,FALSE,FALSE,NA,NA
"RT @thegameawards: A racing game for @Tesla you can use the steering wheel with!? <U+0001F92F>Thank you @elonmusk! #E3Coliseum https://t.co/npzrts78aA",FALSE,0,NA,2019-06-14 01:42:56,FALSE,NA,"1139347457509416966",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","pAlmo4ka_",3257,TRUE,FALSE,NA,NA
"@elonmusk @Starlight_Energ @28delayslater @Tesla @Audi needs to recall that “s-hit” name <U+0001F4A9><U+0001F4A9><U+0001F4A9>",FALSE,0,"elonmusk",2019-06-14 01:42:43,FALSE,"1139286306259816449","1139347404040232961","44196397","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Twhiterrr",0,FALSE,FALSE,NA,NA
"@elonmusk @Starlight_Energ @28delayslater @Tesla In 2 weeks, happy birthday https://t.co/NtUFCeiddY",FALSE,0,"elonmusk",2019-06-14 01:42:43,FALSE,"1139286306259816449","1139347401154555905","44196397","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Sarnia32671770",0,FALSE,FALSE,NA,NA
"@TesLatino @Tesla so is it Level 3 or 4?",FALSE,0,"TesLatino",2019-06-14 01:42:40,FALSE,"1139343231257325569","1139347389683314688","989986448295235586","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","GT351C",0,FALSE,FALSE,NA,NA
"RT @thegameawards: A racing game for @Tesla you can use the steering wheel with!? <U+0001F92F>Thank you @elonmusk! #E3Coliseum https://t.co/npzrts78aA",FALSE,0,NA,2019-06-14 01:42:31,FALSE,NA,"1139347354220486657",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ASwetllan",3257,TRUE,FALSE,NA,NA
"RT @thegameawards: A racing game for @Tesla you can use the steering wheel with!? <U+0001F92F>Thank you @elonmusk! #E3Coliseum https://t.co/npzrts78aA",FALSE,0,NA,2019-06-14 01:42:23,FALSE,NA,"1139347317436366848",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Zurc_ela03",3257,TRUE,FALSE,NA,NA
"@barbarannott @vfiorese_ @miakhalifa @Tesla Thank you Barbarann! I really enjoyed re-reading it after such a long t… https://t.co/FeEVMpkTGB",FALSE,3,"barbarannott",2019-06-14 01:42:15,TRUE,"1139343302078160902","1139347285647564800","797979436213825536","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MiaD",0,FALSE,FALSE,NA,NA
